"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.452537198E0,-6.143500209E-1,-2.231487513E0,-1.534499973E-1
5.472537198E0,-8.331124783E-1,-1.945624948E0,-6.668750197E-2
5.492537198E0,-8.904500008E-1,-1.854050040E0,1.006499976E-1
5.512537198E0,-8.013499975E-1,-1.959100008E0,4.564999789E-2
5.532537198E0,-7.658749819E-1,-1.863812447E0,-1.486375034E-1
5.552537198E0,-6.998749971E-1,-1.714762449E0,-1.436875015E-1
5.572537198E0,-5.410624743E-1,-1.668287516E0,-9.735000134E-2
5.592537198E0,-4.934875071E-1,-1.784337521E0,-1.787500083E-2
5.612537198E0,-4.457750022E-1,-1.861337543E0,8.470000327E-2
5.632537198E0,-3.797749877E-1,-1.679287434E0,1.104125008E-1
5.652537198E0,-1.293874979E-1,-1.933387518E0,3.107500076E-1
5.672537198E0,-2.991999984E-1,-2.310962439E0,-2.939749956E-1
5.692537198E0,-4.397250116E-1,-1.945624948E0,-2.793999910E-1
5.712537198E0,-3.737249970E-1,-2.048337460E0,3.836249933E-2
5.732537198E0,-2.734875083E-1,-2.180200100E0,-4.592499882E-2
5.752537198E0,-3.394874930E-1,-2.148437500E0,-1.717374921E-1
5.772537198E0,-4.592500031E-1,-2.072674990E0,-1.632124931E-1
5.792537198E0,-5.202999711E-1,-2.045862436E0,-1.632124931E-1
5.812537198E0,-5.398250222E-1,-1.916337490E0,-2.255000025E-1
5.832537198E0,-5.715875030E-1,-1.830812454E0,-2.389750034E-1
5.852537198E0,-5.667750239E-1,-1.761237502E0,-2.279749960E-1
5.872537198E0,-5.275874734E-1,-1.684237480E0,-3.025000095E-1
5.892537198E0,-5.752999783E-1,-1.515662551E0,-3.795000017E-1
5.912537198E0,-6.913499832E-1,-1.410612464E0,-3.647874892E-1
5.932537198E0,-7.536374927E-1,-1.298137546E0,-3.062124848E-1
5.952537198E0,-7.291625142E-1,-1.255375028E0,-2.572624981E-1
5.972537198E0,-6.938250065E-1,-1.255375028E0,-2.829749882E-1
5.992537198E0,-6.143500209E-1,-1.154037476E0,-3.012624979E-1
6.012537198E0,-5.055875182E-1,-9.585124850E-1,-2.707374990E-1
6.032537198E0,-3.467749953E-1,-7.276499867E-1,-2.084500045E-1
6.052537198E0,-2.283875048E-1,-7.411249876E-1,-2.011625022E-1
6.072537198E0,-1.989624947E-1,-7.521250248E-1,-1.766874939E-1
6.092537198E0,-2.051499933E-1,-5.773624778E-1,-1.498750001E-1
6.112537198E0,-6.091250107E-2,-2.182125002E-1,1.264999993E-2
6.132537198E0,1.454750001E-1,-1.289750040E-1,9.693749994E-2
6.152537198E0,2.799499929E-1,1.883750036E-2,1.018875018E-1
6.172537198E0,2.004749924E-1,2.668874860E-1,2.859999985E-2
6.192537198E0,7.466249913E-2,6.395124793E-1,-4.468749836E-2
6.212537198E0,4.042499885E-2,8.716124892E-1,-9.239999950E-2
6.232537198E0,1.027124971E-1,9.473749995E-1,-2.243999988E-1
6.252537198E0,6.366249919E-2,9.399499893E-1,2.521750033E-1
6.272537198E0,1.724250019E-1,1.015712500E0,1.164624989E-1
6.292537198E0,4.570499957E-1,1.206287503E0,2.472250015E-1
6.312537198E0,5.730999708E-1,1.258812547E0,2.851749957E-1
6.332537198E0,6.085749865E-1,1.368812442E0,3.254624903E-1
6.352537198E0,7.563874722E-1,1.313812494E0,4.769875109E-1
6.372537198E0,9.519125223E-1,1.192950010E0,5.820375085E-1
6.392537198E0,1.004437447E0,1.065899968E0,5.953750014E-1
6.412537198E0,8.467249870E-1,1.128187537E0,5.722749829E-1
6.432537198E0,6.635749936E-1,1.263762474E0,5.856124759E-1
6.452537198E0,6.098124981E-1,1.214949965E0,6.503750086E-1
6.472537198E0,5.890499949E-1,1.091475010E0,7.090874910E-1
6.492537198E0,5.352874994E-1,1.018187523E0,7.456625104E-1
6.512537198E0,4.582875073E-1,1.169712543E0,7.261375189E-1
6.532537198E0,1.772374958E-1,1.531337500E0,5.990874767E-1
6.552537198E0,1.237499993E-2,1.775674939E0,5.110874772E-1
6.572537198E0,-6.091250107E-2,1.823249936E0,4.390375018E-1
6.592537198E0,-1.049124971E-1,1.835487485E0,2.741749883E-1
6.612537198E0,-7.809999585E-2,1.902724981E0,1.507000029E-1
6.632537198E0,-4.812499974E-3,1.987012506E0,1.886499971E-1
6.652537198E0,6.861250103E-2,2.109250069E0,1.909874976E-1
6.672537198E0,2.089999914E-1,2.342587471E0,1.018875018E-1
6.692537198E0,4.070000052E-1,2.579499960E0,1.388750039E-2
6.712537198E0,4.973374903E-1,2.601500034E0,-1.119249985E-1
6.732537198E0,5.058624744E-1,2.599025011E0,-1.779250056E-1
6.752537198E0,5.658124685E-1,2.691974878E0,-1.779250056E-1
6.772537198E0,6.708624959E-1,2.756737471E0,-1.009249985E-1
6.792537198E0,7.294374704E-1,2.849550009E0,-6.063750014E-2
6.812537198E0,7.783874869E-1,3.081650019E0,-5.816249922E-2
6.832537198E0,6.916249990E-1,3.281987429E0,-3.011249937E-2
6.852537198E0,3.557125032E-1,3.560562372E0,1.886499971E-1
6.872537198E0,3.007124960E-1,3.831850052E0,4.817999899E-1
6.892537198E0,4.533374906E-1,4.184812546E0,6.528499722E-1
6.912537198E0,6.623374820E-1,4.569674969E0,8.386124969E-1
6.932537198E0,8.406749964E-1,4.771249771E0,1.121999979E0
6.952537198E0,1.121724963E0,4.655200005E0,1.531199932E0
6.972537198E0,1.268299937E0,4.354624748E0,1.718199968E0
6.992537198E0,1.441825032E0,4.309525013E0,1.851300001E0
7.012537198E0,1.616449952E0,4.417049885E0,1.950299978E0
7.032537198E0,1.610399961E0,4.523337364E0,1.998012543E0
7.052537198E0,1.444162488E0,4.600200176E0,2.061537504E0
7.072537198E0,1.474687457E0,4.563624859E0,2.120112419E0
7.092537198E0,1.607924938E0,4.473149776E0,2.107874870E0
7.112537198E0,1.687262535E0,4.508625031E0,2.093300104E0
7.132537198E0,1.792449951E0,4.662624836E0,2.168925047E0
7.152537198E0,2.026887417E0,4.590437412E0,2.338737488E0
7.172537198E0,2.088074923E0,4.090762615E0,2.214162588E0
7.192537198E0,2.128362417E0,3.840374947E0,2.049299955E0
7.212537198E0,2.273699999E0,3.809849977E0,2.068825006E0
7.232537198E0,2.420412540E0,3.765850067E0,2.096874952E0
7.252537198E0,2.811325073E0,3.490987539E0,2.023587465E0
7.272537198E0,3.373287439E0,2.913074970E0,1.630200028E0
7.292537198E0,3.237712383E0,2.540450096E0,9.106624722E-1
7.312537198E0,2.581562519E0,2.734737396E0,3.827999830E-1
7.332537198E0,1.613975048E0,3.310174942E0,9.088750184E-2
7.352537198E0,1.096012473E0,3.377274990E0,3.987500072E-1
7.372537198E0,1.653162479E0,2.577162504E0,9.974250197E-1
7.392537198E0,2.542512417E0,1.919775009E0,1.440862536E0
7.412537198E0,3.083712578E0,1.475100040E0,1.872062445E0
7.432537198E0,2.872375011E0,9.351375103E-1,2.109112501E0
7.452537198E0,1.617687464E0,2.338874936E-1,1.417624950E0
7.472537198E0,2.347124964E-1,-1.887875050E-1,7.114250064E-1
7.492537198E0,-1.385312438E0,-2.039674997E0,-3.172124922E-1
7.512537198E0,-2.142800093E0,-2.719062567E0,-9.904124737E-1
7.532537198E0,-2.470187426E0,-2.954737425E0,-1.393562436E0
7.552537198E0,-2.457949877E0,-3.112449884E0,-1.703762531E0
7.572537198E0,-2.360187531E0,-3.395837545E0,-1.891999960E0
7.592537198E0,-2.261187553E0,-3.853987455E0,-1.834524989E0
7.612537198E0,-2.175662518E0,-4.026275158E0,-1.562137485E0
7.632537198E0,-2.192849874E0,-4.207087517E0,-1.246850014E0
7.652537198E0,-2.180612564E0,-4.371950150E0,-1.134512544E0
7.672537198E0,-1.937512517E0,-4.260849953E0,-1.006224990E0
7.692537198E0,-1.614937544E0,-3.939512491E0,-6.335999966E-1
7.712537198E0,-2.014512539E0,-3.676887512E0,-4.797374904E-1
7.732537198E0,-2.223375082E0,-3.636462450E0,-7.056499720E-1
7.752537198E0,-2.062087536E0,-3.513124943E0,-6.836500168E-1
7.772537198E0,-1.761512518E0,-3.417837381E0,-4.478375018E-1
