"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.413437818E0,3.832050085E0,1.284000039E0,3.199500144E-1
4.433437818E0,3.768000126E0,1.323000073E0,-2.028000116E0
4.453437818E0,2.320950031E0,2.143949986E0,-3.939000130E0
4.473437818E0,1.693950057E0,2.266050100E0,-4.705049992E0
4.493437818E0,1.255950093E0,2.055000067E0,-5.167050362E0
4.513437818E0,1.150950074E0,1.906950116E0,-5.346000195E0
4.533437818E0,1.048050046E0,1.315050006E0,-6.682050228E0
4.553437818E0,4.440000355E-1,1.195950031E0,-9.522000313E0
4.573437818E0,1.573950052E0,1.393950105E0,-1.306800079E1
4.593437818E0,3.970950127E0,2.347050190E0,-1.739205170E1
4.613437818E0,5.602050304E0,4.569000244E0,-2.193600082E1
4.633437818E0,6.412950516E0,4.311000347E0,-2.536695099E1
4.653437818E0,5.118000031E0,4.612050056E0,-2.259000015E1
4.673437818E0,4.507050037E0,4.251000404E0,-1.738500023E1
4.693437818E0,2.821950197E0,3.595050097E0,-1.297200108E1
4.713437818E0,-1.185000062E0,4.213050365E0,-8.148000717E0
4.733437818E0,-1.686000109E0,4.023000240E0,-6.759000301E0
4.753437818E0,-2.137950182E0,4.107000351E0,-6.105000496E0
4.773437818E0,-2.454000235E0,4.339050293E0,-5.812950134E0
4.793437818E0,-2.338950157E0,4.702950001E0,-5.512050152E0
4.813437818E0,-2.494950056E0,4.774950027E0,-5.365950108E0
4.833437818E0,-2.907000065E0,4.372950077E0,-4.317000389E0
4.853437818E0,-3.307050228E0,4.039950371E0,-1.980000138E0
4.873437818E0,-3.709050179E0,3.982950211E0,-2.320500165E-1
4.893437818E0,-3.709050179E0,3.982950211E0,-2.320500165E-1
4.893437818E0,-4.092000008E0,3.832050085E0,-3.760500252E-1
4.933437818E0,-2.979000092E0,4.085999966E0,4.080000222E-1
4.953437818E0,-3.061950207E0,3.901050091E0,6.840000153E-1
4.973437818E0,-3.067050219E0,3.612000227E0,1.990950108E0
4.993437818E0,-2.938050032E0,3.765000105E0,2.875050068E0
5.013437818E0,-2.602950096E0,3.885000229E0,2.412000179E0
5.033437818E0,-2.145000219E0,3.631050110E0,3.291000128E0
5.053437818E0,-2.152050018E0,3.199950218E0,5.539050102E0
