"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.383753445E0,-5.721374750E-1,-9.549375176E-1,-1.281500012E-1
4.403753445E0,-1.116499975E-1,-1.259087443E0,-4.152499884E-2
4.423753445E0,-2.364999987E-2,-1.631712437E0,-1.721500009E-1
4.443753445E0,-4.988499880E-1,-1.310374975E0,-2.039124966E-1
4.463753445E0,-6.381375194E-1,-9.279875159E-1,-1.135749966E-1
4.483753445E0,-3.107500076E-1,-9.341750145E-1,-9.281250089E-2
4.503753445E0,-4.193750024E-2,-1.195562482E0,-5.857500061E-2
4.523753445E0,-2.704625130E-1,-1.277374983E0,-1.086250022E-1
4.543753445E0,-5.343250036E-1,-1.072224975E0,-8.786249906E-2
4.563753445E0,-4.817999899E-1,-9.646999836E-1,-6.228749827E-2
4.583753445E0,-2.081750035E-1,-1.128324986E0,-2.681249939E-2
4.603753445E0,-1.201749966E-1,-1.270087481E0,-8.428750187E-2
4.623753445E0,-3.572250009E-1,-1.066037536E0,-1.135749966E-1
4.643753445E0,-3.095124960E-1,-7.544624805E-1,7.466249913E-2
4.663753445E0,-6.641250104E-2,-8.607500196E-1,1.051874980E-1
4.683753445E0,-8.222500235E-2,-9.475125074E-1,-1.581249945E-2
4.703753445E0,-2.862749994E-1,-7.631250024E-1,-2.337499987E-3
4.723753445E0,-3.046999872E-1,-3.500750065E-1,1.027124971E-1
4.743753445E0,-5.417500064E-2,1.649999991E-3,1.209999993E-1
4.763753445E0,1.131625026E-1,1.923625022E-1,8.799999952E-2
4.783753445E0,2.231625021E-1,3.804624975E-1,1.539999992E-1
4.803753445E0,2.451625019E-1,5.685625076E-1,2.297624946E-1
4.823753445E0,2.304500043E-1,8.593750000E-1,3.201000094E-1
4.843753445E0,5.017374754E-1,1.233237505E0,4.826250076E-1
4.863753445E0,8.657000065E-1,1.220999956E0,4.483875036E-1
4.883753445E0,9.366499782E-1,1.064662457E0,2.285249978E-1
4.903753445E0,6.848874688E-1,1.057237506E0,7.466249913E-2
4.923753445E0,5.615500212E-1,1.506862521E0,1.784749925E-1
4.943753445E0,9.207000136E-1,1.798912525E0,3.385249972E-1
4.963753445E0,9.634624720E-1,1.415287495E0,2.017125040E-1
4.983753445E0,5.885000229E-1,1.274762511E0,3.795000166E-2
5.003753445E0,3.649249971E-1,1.716962457E0,7.342500240E-2
5.023753445E0,5.920749903E-1,1.956487536E0,2.358125001E-1
5.043753445E0,5.982624888E-1,1.644912481E0,8.195000142E-2
5.063753445E0,3.392125070E-1,1.638862491E0,-2.928750031E-2
5.083753445E0,2.817375064E-1,1.884437442E0,1.027124971E-1
5.103753445E0,4.602124989E-1,2.028537512E0,2.540999949E-1
5.123753445E0,4.602124989E-1,1.725487471E0,1.588124931E-1
5.143753445E0,3.881624937E-1,1.747487545E0,1.564749926E-1
5.163753445E0,4.259749949E-1,1.701149940E0,2.688125074E-1
5.183753445E0,5.787374973E-1,1.798912525E0,3.690499961E-1
5.203753445E0,7.301250100E-1,1.745149970E0,4.129124880E-1
5.223753445E0,7.081249952E-1,1.501912475E0,3.335750103E-1
5.243753445E0,6.690750122E-1,1.509337544E0,2.798124850E-1
5.263753445E0,6.177874804E-1,1.591150045E0,2.993375063E-1
5.283753445E0,6.837875247E-1,1.571624994E0,3.262875080E-1
5.303753445E0,6.898375154E-1,1.401812434E0,1.992374957E-1
5.323753445E0,5.224999785E-1,1.406625032E0,6.118749827E-2
5.343753445E0,4.540250003E-1,1.675437450E0,9.295000136E-2
5.363753445E0,3.392125070E-1,1.448287487E0,1.223750040E-2
5.383753445E0,4.186874926E-1,1.394525051E0,3.918749839E-2
5.403753445E0,6.104999781E-1,1.462862492E0,1.062875018E-1
5.423753445E0,7.070249915E-1,1.406625032E0,1.845249981E-1
5.443753445E0,5.567374825E-1,1.260049939E0,1.270499974E-1
5.463753445E0,3.574999869E-1,1.235574961E0,9.047500044E-2
5.483753445E0,3.392125070E-1,1.247812510E0,7.328750193E-2
5.503753445E0,3.990249932E-1,1.249050021E0,7.576250285E-2
5.523753445E0,3.795000017E-1,1.297999978E0,1.172875017E-1
5.543753445E0,3.465000093E-1,1.301574945E0,1.222374961E-1
5.563753445E0,3.977875113E-1,1.311337471E0,1.699499935E-1
5.583753445E0,6.385499835E-1,1.227049947E0,2.249500006E-1
5.603753445E0,6.055499911E-1,1.044999957E0,2.054249942E-1
5.623753445E0,5.224999785E-1,1.035237551E0,2.164250016E-1
5.643753445E0,5.017374754E-1,1.093950033E0,2.175250053E-1
5.663753445E0,4.490749836E-1,1.058475018E0,1.552374959E-1
5.683753445E0,4.027374983E-1,1.090237498E0,1.479499936E-1
5.703753445E0,3.880249858E-1,1.110999942E0,1.308999956E-1
5.723753445E0,3.990249932E-1,1.130524993E0,1.186624989E-1
5.743753445E0,3.514499962E-1,1.067000031E0,7.590000331E-2
5.763753445E0,2.255000025E-1,1.057237506E0,2.571249940E-2
5.783753445E0,2.036374956E-1,1.201475024E0,1.113750041E-2
5.803753445E0,3.232625127E-1,1.313812494E0,1.137124971E-1
5.823753445E0,4.600749910E-1,1.291812539E0,2.419999987E-1
5.843753445E0,4.833124876E-1,1.187999964E0,2.237125039E-1
5.863753445E0,3.770250082E-1,1.147712469E0,1.626625061E-1
5.883753445E0,2.804999948E-1,1.269812465E0,1.639000028E-1
5.903753445E0,4.589749873E-1,1.317525029E0,2.089999914E-1
5.923753445E0,5.358374715E-1,1.360287547E0,2.419999987E-1
5.943753445E0,5.750250220E-1,1.319999933E0,2.407625020E-1
5.963753445E0,5.517874956E-1,1.267337441E0,2.114749998E-1
5.983753445E0,5.627874732E-1,1.328524947E0,2.310000062E-1
6.003753445E0,6.311249733E-1,1.185524940E0,2.224749923E-1
6.023753445E0,4.992625117E-1,1.063424945E0,1.797125041E-1
6.043753445E0,3.574999869E-1,1.137949944E0,1.064250022E-1
6.063753445E0,3.429250121E-1,1.258812547E0,8.318749815E-2
6.083753445E0,3.184500039E-1,1.263762474E0,9.776250273E-2
6.103753445E0,4.295499921E-1,1.169712543E0,1.209999993E-1
6.123753445E0,5.750250220E-1,1.086524963E0,1.332374960E-1
6.143753445E0,6.275500059E-1,9.448999763E-1,1.124750003E-1
6.163753445E0,4.833124876E-1,8.581374884E-1,4.523750022E-2
6.183753445E0,2.499749959E-1,8.886625171E-1,-6.049999967E-3
6.203753445E0,8.249999955E-4,8.703749776E-1,-1.025749967E-1
6.223753445E0,-2.215124965E-1,8.593750000E-1,-1.941500008E-1
6.243753445E0,-1.947000027E-1,1.002237439E0,-1.575749964E-1
6.263753445E0,-4.317500070E-2,1.087762475E0,-9.281250089E-2
6.283753445E0,1.058750004E-1,1.113474965E0,-2.186249942E-2
6.303753445E0,2.243999988E-1,1.104949951E0,1.087625027E-1
6.323753445E0,5.175499916E-1,8.923749924E-1,1.907124966E-1
6.343753445E0,6.300249696E-1,6.602749825E-1,2.089999914E-1
6.363753445E0,5.542625189E-1,4.452250004E-1,1.857624948E-1
6.383753445E0,3.062124848E-1,2.033624947E-1,7.342500240E-2
6.403753445E0,4.963750020E-2,-2.392499894E-2,-6.586249918E-2
6.423753445E0,-2.007499933E-1,-5.028374791E-1,-1.856250018E-1
6.443753445E0,-4.915624857E-1,-7.826499939E-1,-1.966249943E-1
6.463753445E0,-6.333249807E-1,-8.681749701E-1,-1.929125041E-1
6.483753445E0,-5.318499804E-1,-8.449375033E-1,-9.404999763E-2
6.503753445E0,-4.120875001E-1,-1.006224990E0,-1.828750037E-2
6.523753445E0,-5.148000121E-1,-1.389850020E0,-7.562500238E-2
6.543753445E0,-5.843750238E-1,-1.502187490E0,-1.941500008E-1
6.563753445E0,-4.988499880E-1,-1.364137530E0,-2.124374956E-1
