"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.306868280E0,3.705000132E-2,1.633950114E0,1.143195057E1
7.325966796E0,-5.440500379E-1,1.260000110E0,1.234395027E1
7.345065248E0,-4.789500237E-1,1.258050084E0,1.130205059E1
7.364163919E0,1.140000075E-1,1.390050054E0,9.009000778E0
7.383262369E0,6.550500393E-1,1.440000057E0,8.500950813E0
7.402360866E0,8.730000257E-1,1.258050084E0,9.661950111E0
7.421459316E0,7.699500322E-1,1.114050031E0,1.046700096E1
7.440557987E0,1.261050105E0,1.213050008E0,9.841950417E0
7.459656547E0,1.696950078E0,1.441950083E0,9.076050758E0
7.478755022E0,2.319000006E0,1.549950123E0,8.595000267E0
7.497853513E0,2.830950022E0,1.507050037E0,8.131950378E0
7.516952189E0,2.769000053E0,1.106999993E0,9.178950310E0
7.536050662E0,2.359950066E0,6.979500055E-1,1.084995079E1
7.555149160E0,2.584950209E0,6.330000162E-1,1.118805027E1
7.574247604E0,3.382050276E0,1.021050096E0,9.150000572E0
7.593346075E0,4.147950172E0,1.135950089E0,8.237999916E0
7.612444779E0,4.394999981E0,9.180000424E-1,9.691050529E0
7.631543276E0,4.098000050E0,6.120000482E-1,1.077105045E1
7.650641813E0,4.206000328E0,5.370000005E-1,1.039695072E1
7.669740300E0,4.630050182E0,4.579500258E-1,9.516000748E0
7.688838996E0,4.783050060E0,2.400000095E-1,9.102000237E0
7.707937449E0,4.996050358E0,1.039500013E-1,9.688950539E0
7.727035986E0,5.020050049E0,3.000000119E-2,1.040700054E1
7.746134439E0,5.089050293E0,1.399500072E-1,9.931050301E0
7.765233116E0,5.532000065E0,2.959500253E-1,8.836050034E0
7.784331598E0,6.379950523E0,3.340500295E-1,8.187000275E0
7.803430165E0,6.231000423E0,3.900000080E-2,8.614050865E0
7.822528599E0,6.174000263E0,-2.490000129E-1,9.732000351E0
7.841627056E0,5.800050259E0,-2.400000095E-1,9.957000732E0
7.860725736E0,5.985000134E0,4.200000316E-2,8.725950241E0
7.879824200E0,6.274050236E0,-7.950000465E-3,7.057050228E0
7.898922707E0,6.705000401E0,1.660500020E-1,7.234950542E0
7.918021152E0,7.354050159E0,-5.505000427E-2,8.994000435E0
